Category,English Phrase,Traditional Chinese,Usage Note,Difficulty
Making Plans,Would you like to...?,你想要⋯嗎？,suggesting a plan,intermediate
Making Plans,Do you want to...?,你想⋯嗎？,casually suggesting an activity,intermediate
Making Plans,How about we...?,我們⋯怎麼樣？,proposing an activity together,intermediate
Making Plans,Why don't we...?,我們何不⋯？,suggesting an activity,intermediate
Making Plans,Let's...,我們⋯吧。,suggesting an activity together,intermediate
Making Plans,Shall we...?,我們⋯好嗎？,politely suggesting an activity,intermediate
Making Plans,What do you feel like doing?,你想做什麼？,asking what someone wants to do,intermediate
Making Plans,I'd love to!,我很想！,enthusiastically accepting a suggestion,intermediate
Making Plans,That sounds like a great idea!,聽起來是個好主意！,accepting a plan enthusiastically,intermediate
Making Plans,Count me in!,算我一份！,agreeing to join a plan,intermediate
Making Plans,I'm in!,我加入！,enthusiastically agreeing to a plan,intermediate
Making Plans,"Sorry, I can't make it.",抱歉，我沒辦法去。,declining a plan,intermediate
Making Plans,I have other plans.,我有其他計劃。,explaining why you can't join,intermediate
Making Plans,I'm not available then.,我那時候沒空。,saying you're busy at that time,intermediate
Making Plans,Can we reschedule?,我們可以改時間嗎？,asking to change a plan,intermediate
Making Plans,How does... sound?,⋯怎麼樣？,asking if a specific plan works for someone,intermediate
Making Plans,Does that work for you?,那對你方便嗎？,checking if a plan suits someone,intermediate
Making Plans,What time works for you?,什麼時間對你方便？,asking about someone's availability,intermediate
Making Plans,Let's say... o'clock?,我們說⋯點好嗎？,proposing a specific time,intermediate
Making Plans,Where shall we meet?,我們在哪裡見面？,deciding on a meeting location,intermediate
Making Plans,Let's meet at...,我們在⋯見面吧。,suggesting a meeting place,intermediate
Making Plans,I'll see you there!,我在那裡等你！,confirming you'll meet at an agreed place,intermediate
Making Plans,Don't forget!,別忘了！,reminding someone about a plan,intermediate
Making Plans,Can't wait to see you!,迫不及待想見到你！,expressing excitement about meeting someone,intermediate
Apologies & Forgiveness,I'm so sorry.,我非常抱歉。,stronger apology,intermediate
Apologies & Forgiveness,I'm really sorry about that.,我真的很抱歉那件事。,apologising for a specific thing,intermediate
Apologies & Forgiveness,I apologise.,我道歉。,formal apology,intermediate
Apologies & Forgiveness,Please forgive me.,請原諒我。,asking for forgiveness,intermediate
Apologies & Forgiveness,That was my fault.,那是我的錯。,taking responsibility,intermediate
Apologies & Forgiveness,I take full responsibility.,我完全負責。,accepting blame formally,intermediate
Apologies & Forgiveness,I should have been more careful.,我應該更小心的。,admitting a mistake,intermediate
Apologies & Forgiveness,I didn't mean to hurt you.,我不是故意傷害你的。,explaining an unintentional action,intermediate
Apologies & Forgiveness,I had no idea it would cause a problem.,我不知道這會造成問題。,saying you were unaware,intermediate
Apologies & Forgiveness,I'll make it up to you.,我會補償你的。,promising to make amends,intermediate
Apologies & Forgiveness,How can I make it right?,我能怎麼做來彌補？,asking how to make amends,intermediate
Apologies & Forgiveness,That's okay.,沒關係。,accepting an apology,intermediate
Apologies & Forgiveness,"It's fine, don't worry about it.",沒事，不用擔心。,reassuring someone their apology is accepted,intermediate
Apologies & Forgiveness,No harm done.,沒有造成傷害。,saying no damage was done,intermediate
Apologies & Forgiveness,I understand.,我理解。,showing understanding after an apology,intermediate
Apologies & Forgiveness,Let's forget about it.,讓我們忘掉這件事吧。,suggesting to move on,intermediate
Apologies & Forgiveness,I forgive you.,我原諒你。,formally granting forgiveness,intermediate
Apologies & Forgiveness,Apology accepted.,接受你的道歉。,formally accepting an apology,intermediate
Apologies & Forgiveness,We all make mistakes.,我們都會犯錯。,being understanding about someone's error,intermediate
Apologies & Forgiveness,Don't worry about it.,不用擔心這件事。,reassuring someone,intermediate
Apologies & Forgiveness,It happens to everyone.,這種事每個人都會遇到。,normalising a mistake,intermediate
Apologies & Forgiveness,Let's move on.,讓我們繼續吧。,suggesting to put something behind you,intermediate
Congratulations & Celebrations,Congratulations!,恭喜！,standard congratulation,intermediate
Congratulations & Celebrations,I'm so proud of you!,我真的為你感到驕傲！,expressing pride in someone's achievement,intermediate
Congratulations & Celebrations,You did it!,你做到了！,celebrating someone's success,intermediate
Congratulations & Celebrations,That's wonderful news!,那真是太棒的消息了！,responding to good news,intermediate
Congratulations & Celebrations,I'm so happy for you!,我真的為你感到開心！,expressing happiness for someone,intermediate
Congratulations & Celebrations,You deserve it!,你應得的！,saying someone earned their success,intermediate
Congratulations & Celebrations,What great news!,多好的消息啊！,reacting positively to good news,intermediate
Congratulations & Celebrations,Happy birthday!,生日快樂！,birthday greeting,easy
Congratulations & Celebrations,Many happy returns!,祝你生日快樂！,formal birthday greeting,intermediate
Congratulations & Celebrations,Happy anniversary!,週年紀念日快樂！,anniversary greeting,intermediate
Congratulations & Celebrations,Happy New Year!,新年快樂！,new year greeting,easy
Congratulations & Celebrations,Merry Christmas!,聖誕節快樂！,Christmas greeting,easy
Congratulations & Celebrations,Happy holidays!,節日快樂！,general holiday greeting,intermediate
Congratulations & Celebrations,Let's celebrate!,我們來慶祝吧！,suggesting a celebration,intermediate
Congratulations & Celebrations,This calls for a celebration!,這值得慶祝！,saying something deserves to be celebrated,intermediate
Congratulations & Celebrations,Cheers!,乾杯！,a toast when drinking,intermediate
Congratulations & Celebrations,Here's to you!,敬你！,a personal toast,intermediate
Congratulations & Celebrations,Here's to our success!,為我們的成功乾杯！,a toast to shared success,intermediate
Congratulations & Celebrations,Best wishes!,最美好的祝福！,general good wishes,intermediate
Congratulations & Celebrations,Wishing you all the best!,祝你一切順利！,sending good wishes,intermediate
Congratulations & Celebrations,Good luck with everything!,祝你一切順利！,wishing someone luck,intermediate
Congratulations & Celebrations,I hope it goes well.,我希望一切順利。,wishing something goes successfully,intermediate
Congratulations & Celebrations,You're going to do great!,你一定會表現很好！,encouraging someone before a challenge,intermediate
Congratulations & Celebrations,Here's to a bright future!,為美好的未來乾杯！,toast to the future,intermediate
