Category,Word,Part of Speech,Traditional Chinese,Definition,Example Sentence,Difficulty
Nouns - Abstract & Emotions,grief,noun,悲痛,deep sorrow,She was overcome with grief.,intermediate
Nouns - Abstract & Emotions,hope,noun,希望,a desire for something good to happen,There is always hope.,easy
Nouns - Abstract & Emotions,despair,noun,絕望,a complete loss of hope,He felt despair.,intermediate
Nouns - Abstract & Emotions,confidence,noun,自信,a belief in your own ability,She spoke with confidence.,intermediate
Nouns - Abstract & Emotions,anxiety,noun,焦慮,a feeling of worry,Exam anxiety is common.,intermediate
Nouns - Abstract & Emotions,loneliness,noun,孤獨,a feeling of being alone,Moving abroad can cause loneliness.,intermediate
Nouns - Abstract & Emotions,pride,noun,驕傲,satisfaction in achievements,He felt pride in his work.,intermediate
Nouns - Abstract & Emotions,shame,noun,羞恥,a feeling of disgrace,He felt shame for what he did.,intermediate
Nouns - Abstract & Emotions,guilt,noun,罪惡感,a feeling of having done wrong,She felt guilt for lying.,intermediate
Nouns - Abstract & Emotions,jealousy,noun,嫉妒,envy of another's advantage,Jealousy can ruin friendships.,intermediate
Nouns - Abstract & Emotions,excitement,noun,興奮,a feeling of enthusiasm,She couldn't hide her excitement.,intermediate
Nouns - Abstract & Emotions,curiosity,noun,好奇心,a desire to know more,Curiosity leads to learning.,intermediate
Nouns - Abstract & Emotions,surprise,noun,驚訝,an unexpected feeling,The gift was a surprise.,easy
Nouns - Abstract & Emotions,trust,noun,信任,a belief in someone's reliability,Trust is built over time.,intermediate
Nouns - Abstract & Emotions,respect,noun,尊重,admiration for someone,Show respect for others.,intermediate
Nouns - Abstract & Emotions,empathy,noun,同理心,understanding another's feelings,Empathy is important.,intermediate
Nouns - Abstract & Emotions,compassion,noun,同情心,care for another's suffering,She showed great compassion.,intermediate
Nouns - Abstract & Emotions,courage,noun,勇氣,the ability to face fear,She showed great courage.,intermediate
Nouns - Abstract & Emotions,patience,noun,耐心,the ability to wait calmly,Patience is a virtue.,intermediate
Nouns - Abstract & Emotions,honesty,noun,誠實,the quality of being truthful,Honesty is the best policy.,intermediate
Nouns - Abstract & Emotions,kindness,noun,善意,the quality of being kind,A small act of kindness matters.,intermediate
Nouns - Abstract & Emotions,friendship,noun,友情,the state of being friends,True friendship is rare.,intermediate
Nouns - Abstract & Emotions,loyalty,noun,忠誠,faithfulness to someone,Her loyalty was unwavering.,intermediate
Nouns - Abstract & Emotions,freedom,noun,自由,the state of being free,Freedom is a basic right.,intermediate
Nouns - Abstract & Emotions,justice,noun,正義,fairness in treatment,They fought for justice.,intermediate
Nouns - Abstract & Emotions,truth,noun,真相,the actual facts,Always seek the truth.,intermediate
Nouns - Abstract & Emotions,lie,noun,謊言,an untrue statement,She told a lie.,easy
Nouns - Abstract & Emotions,opinion,noun,意見,a personal view,What is your opinion?,intermediate
Nouns - Abstract & Emotions,belief,noun,信仰信念,something accepted as true,He held strong beliefs.,intermediate
Nouns - Abstract & Emotions,attitude,noun,態度,a way of thinking or feeling,A positive attitude helps.,intermediate
Nouns - Abstract & Emotions,motivation,noun,動力,a reason to do something,What is your motivation?,intermediate
Nouns - Abstract & Emotions,ambition,noun,抱負,a desire to achieve something,She has great ambition.,intermediate
Nouns - Abstract & Emotions,dream,noun,夢想,an aspiration,Follow your dream.,intermediate
Nouns - Abstract & Emotions,imagination,noun,想像力,the ability to form images,Children have vivid imagination.,intermediate
Nouns - Abstract & Emotions,creativity,noun,創造力,the ability to make new things,Creativity drives innovation.,intermediate
Nouns - Abstract & Emotions,memory,noun,記憶,the ability to recall past events,She has a strong memory.,intermediate
Nouns - Abstract & Emotions,wisdom,noun,智慧,good judgment based on experience,Age brings wisdom.,intermediate
Nouns - Abstract & Emotions,intelligence,noun,智力,the ability to learn and understand,She has great intelligence.,intermediate
Nouns - Abstract & Emotions,talent,noun,才能,a natural ability,He has a talent for music.,intermediate
Nouns - Abstract & Emotions,habit,noun,習慣,a regular practice,Develop healthy habits.,intermediate
Nouns - Abstract & Emotions,culture,noun,文化,the customs of a people,She respects other cultures.,intermediate
Nouns - Abstract & Emotions,tradition,noun,傳統,a long-established custom,They follow family traditions.,intermediate
Nouns - Abstract & Emotions,success,noun,成功,achieving what you aimed for,Hard work leads to success.,intermediate
Nouns - Abstract & Emotions,failure,noun,失敗,not achieving what you aimed for,Failure teaches us lessons.,intermediate
Nouns - Abstract & Emotions,experience,noun,經驗,knowledge gained from events,Experience is valuable.,intermediate
Nouns - Abstract & Emotions,opportunity,noun,機會,a favourable situation,Don't miss the opportunity.,intermediate
Nouns - Abstract & Emotions,challenge,noun,挑戰,a difficult task,She accepted the challenge.,intermediate
Nouns - Abstract & Emotions,problem,noun,問題,a difficult situation,We solved the problem.,intermediate
Nouns - Abstract & Emotions,solution,noun,解決方案,a way of solving a problem,Find a practical solution.,intermediate
Nouns - Abstract & Emotions,idea,noun,想法,a thought or suggestion,He had a great idea.,intermediate
Nouns - Abstract & Emotions,plan,noun,計劃,a course of action,Stick to the plan.,easy
Nouns - Abstract & Emotions,decision,noun,決定,a choice made after thinking,It was a difficult decision.,intermediate
Nouns - Abstract & Emotions,change,noun,改變,the process of becoming different,Change is inevitable.,easy
Nouns - Abstract & Emotions,progress,noun,進步,forward movement or improvement,We are making progress.,intermediate
Nouns - Abstract & Emotions,responsibility,noun,責任,a duty to do something,Accept your responsibility.,intermediate
Nouns - Abstract & Emotions,right,noun,權利,something one is entitled to,Everyone has the right to speak.,easy
Nouns - Abstract & Emotions,choice,noun,選擇,the act of picking between options,It's your choice.,intermediate
Nouns - Abstract & Emotions,consequence,noun,後果,a result of an action,Think about the consequences.,intermediate
Nouns - Abstract & Emotions,effort,noun,努力,energy put into doing something,She put in a lot of effort.,intermediate
Nouns - Abstract & Emotions,result,noun,結果,the outcome of something,The result surprised everyone.,intermediate
Nouns - Abstract & Emotions,relationship,noun,關係,a connection between people,They have a strong relationship.,intermediate
Nouns - Abstract & Emotions,communication,noun,溝通,the exchange of information,Good communication is key.,intermediate
Nouns - Abstract & Emotions,support,noun,支持,help given to someone,Thank you for your support.,intermediate
Nouns - Abstract & Emotions,conflict,noun,衝突,a disagreement or struggle,They resolved the conflict.,intermediate
Nouns - Abstract & Emotions,peace,noun,和平,freedom from conflict,Everyone deserves peace.,intermediate
Nouns - Abstract & Emotions,power,noun,力量權力,strength or authority,Knowledge is power.,intermediate
Nouns - Abstract & Emotions,influence,noun,影響力,the ability to affect others,She has great influence.,intermediate
Nouns - Abstract & Emotions,leadership,noun,領導力,the ability to guide others,Good leadership inspires.,intermediate
Nouns - Abstract & Emotions,teamwork,noun,團隊合作,cooperation in a group,Teamwork makes things easier.,intermediate
Nouns - Abstract & Emotions,value,noun,價值觀,a principle one believes in,Know your values.,intermediate
Nouns - Money & Finance,money,noun,錢,currency used for transactions,She saved her money.,easy
Nouns - Money & Finance,cash,noun,現金,physical money,Do you accept cash?,intermediate
Nouns - Money & Finance,coin,noun,硬幣,a metal disc used as money,He found a coin on the ground.,intermediate
Nouns - Money & Finance,note,noun,紙幣,paper currency,She paid with a large note.,intermediate
Nouns - Money & Finance,savings,noun,存款,money put aside,She has healthy savings.,intermediate
Nouns - Money & Finance,debt,noun,債務,money owed to someone,He paid off his debt.,intermediate
Nouns - Money & Finance,loan,noun,貸款,money borrowed from a bank,She took out a loan.,intermediate
Nouns - Money & Finance,interest,noun,利息,a charge for borrowing money,The interest rate is low.,intermediate
Nouns - Money & Finance,credit card,noun,信用卡,a card for paying on credit,She paid with her credit card.,intermediate
Nouns - Money & Finance,debit card,noun,金融卡,a card linked to a bank account,She paid by debit card.,intermediate
Nouns - Money & Finance,price,noun,價格,the amount charged for something,What is the price?,intermediate
Nouns - Money & Finance,cost,noun,成本費用,the amount paid for something,The cost was high.,intermediate
Nouns - Money & Finance,fee,noun,費用,a charge for a service,There is a monthly fee.,intermediate
Nouns - Money & Finance,tax,noun,稅,a compulsory payment to the government,She paid her income tax.,intermediate
Nouns - Money & Finance,discount,noun,折扣,a reduction in price,They offered a 20% discount.,intermediate
Nouns - Money & Finance,sale,noun,特賣銷售,items sold at reduced prices,Everything is on sale.,intermediate
Nouns - Money & Finance,investment,noun,投資,money put into something for return,Property is a good investment.,intermediate
Nouns - Money & Finance,insurance,noun,保險,protection against financial loss,Get health insurance.,intermediate
Nouns - Money & Finance,pension,noun,退休金,income after retirement,She receives a pension.,intermediate
Nouns - Money & Finance,currency,noun,貨幣,the money used in a country,What currency do they use?,intermediate
Nouns - Money & Finance,ATM,noun,自動提款機,a machine for withdrawing cash,Use the ATM on the corner.,intermediate
Nouns - Money & Finance,transaction,noun,交易,a financial exchange,The transaction was successful.,intermediate
Nouns - Money & Finance,charity,noun,慈善,giving money to help others,She donates to charity.,intermediate
Nouns - Money & Finance,donation,noun,捐款,money given to a cause,He made a donation.,intermediate
Nouns - Money & Finance,purchase,noun,購買,something bought,That was a good purchase.,intermediate
Nouns - Money & Finance,refund,noun,退款,money returned after a purchase,She requested a refund.,intermediate
Nouns - Money & Finance,exchange rate,noun,匯率,the rate of one currency to another,Check the exchange rate.,intermediate
Nouns - Money & Finance,bank transfer,noun,銀行轉帳,moving money between accounts,I'll do a bank transfer.,intermediate
Nouns - Money & Finance,payment,noun,付款,the act of paying,Make your payment online.,intermediate
Nouns - Social & Leisure,hobby,noun,興趣,an activity done for pleasure,My hobby is photography.,intermediate
Nouns - Social & Leisure,sport,noun,運動,a physical activity or game,His favourite sport is tennis.,intermediate
Nouns - Social & Leisure,game,noun,遊戲,an activity with rules and competition,They played a board game.,intermediate
Nouns - Social & Leisure,party,noun,派對,a social gathering,She threw a birthday party.,intermediate
Nouns - Social & Leisure,celebration,noun,慶祝,a gathering to mark a happy event,The celebration was joyful.,intermediate
Nouns - Social & Leisure,wedding,noun,婚禮,a ceremony of marriage,We attended a wedding.,intermediate
Nouns - Social & Leisure,gift,noun,禮物,something given to someone,She received a lovely gift.,intermediate
Nouns - Social & Leisure,invitation,noun,邀請,a request to attend,Send the invitations early.,intermediate
Nouns - Social & Leisure,concert,noun,演唱會,a live musical performance,They went to a concert.,intermediate
Nouns - Social & Leisure,show,noun,表演,an entertainment event,The show was amazing.,easy
Nouns - Social & Leisure,performance,noun,表演,an act of entertaining others,The performance was excellent.,intermediate
Nouns - Social & Leisure,match,noun,比賽,a sporting competition,They watched the football match.,intermediate
Nouns - Social & Leisure,tournament,noun,錦標賽,a series of games,She won the tennis tournament.,intermediate
Nouns - Social & Leisure,competition,noun,競賽,a contest between people,She entered the singing competition.,intermediate
Nouns - Social & Leisure,trip,noun,旅程,a short journey for pleasure,They took a day trip.,intermediate
Nouns - Social & Leisure,adventure,noun,冒險,an exciting unusual experience,He went on an adventure.,intermediate
Nouns - Social & Leisure,picnic,noun,野餐,an outdoor meal,They had a picnic in the park.,intermediate
Nouns - Social & Leisure,barbecue,noun,烤肉,cooking food outdoors on a grill,They had a barbecue on Sunday.,intermediate
Nouns - Social & Leisure,camping,noun,露營,staying in a tent outdoors,They went camping last weekend.,intermediate
Nouns - Social & Leisure,hiking,noun,健行,long walks in the countryside,Hiking keeps me fit.,intermediate
Nouns - Social & Leisure,swimming,noun,游泳,moving through water for exercise,She loves swimming.,intermediate
Nouns - Social & Leisure,cycling,noun,騎腳踏車,riding a bicycle,He enjoys cycling.,intermediate
Nouns - Social & Leisure,running,noun,跑步,moving quickly on foot for exercise,Running is her daily habit.,intermediate
Nouns - Social & Leisure,yoga,noun,瑜珈,a practice of exercise and mindfulness,She does yoga every morning.,intermediate
Nouns - Social & Leisure,dance,noun,舞蹈,rhythmic movement to music,She takes dance classes.,easy
Nouns - Social & Leisure,music,noun,音樂,sound arranged in a pleasant way,Music fills the room.,intermediate
Nouns - Social & Leisure,song,noun,歌曲,a piece of music with words,That is a beautiful song.,intermediate
Nouns - Social & Leisure,movie,noun,電影,a film shown in a cinema,Let's watch a movie tonight.,intermediate
Nouns - Social & Leisure,book,noun,書,a written work,She reads a book every week.,easy
Nouns - Social & Leisure,magazine,noun,雜誌,a periodical publication,She flipped through a magazine.,intermediate
Nouns - Social & Leisure,art,noun,藝術,creative work expressing ideas,She studied art at university.,intermediate
Nouns - Social & Leisure,painting,noun,繪畫,a picture made with paint,She hung a painting on the wall.,intermediate
Nouns - Social & Leisure,drawing,noun,素描,a picture made with a pencil,He showed me his drawing.,intermediate
Nouns - Social & Leisure,photography,noun,攝影,taking pictures with a camera,Photography is her hobby.,intermediate
Nouns - Social & Leisure,cooking,noun,烹飪,preparing food by heating,She enjoys cooking.,intermediate
Nouns - Social & Leisure,gardening,noun,園藝,growing plants as a hobby,He spends weekends gardening.,intermediate
Nouns - Social & Leisure,reading,noun,閱讀,looking at and understanding text,Reading relaxes me.,intermediate
Nouns - Social & Leisure,writing,noun,寫作,putting words on paper,She enjoys creative writing.,intermediate
Nouns - Social & Leisure,shopping,noun,購物,buying goods,She loves shopping.,intermediate
Nouns - Social & Leisure,travel,noun,旅行,going to different places,Travel broadens the mind.,easy
Nouns - Social & Leisure,entertainment,noun,娛樂,activities for enjoyment,There is plenty of entertainment.,intermediate
Nouns - Social & Leisure,relaxation,noun,放鬆,a state of rest,She needed some relaxation.,intermediate
Nouns - Social & Leisure,rest,noun,休息,a break from activity,Take a rest.,easy
Nouns - Social & Leisure,fun,noun,樂趣,enjoyment or amusement,We had so much fun.,intermediate
Nouns - Social & Leisure,laughter,noun,笑聲,the sound or act of laughing,Laughter filled the room.,intermediate
Adjectives,good,adjective,好的,of high quality,This is a good idea.,easy
Adjectives,bad,adjective,壞的,of poor quality,That was a bad decision.,easy
Adjectives,great,adjective,很好的,excellent,She did a great job.,intermediate
Adjectives,terrible,adjective,糟糕的,extremely bad,The service was terrible.,intermediate
Adjectives,wonderful,adjective,很棒的,inspiring delight,What a wonderful day!,intermediate
Adjectives,awful,adjective,可怕的,very bad or unpleasant,The smell was awful.,intermediate
Adjectives,excellent,adjective,優秀的,very good,Her English is excellent.,intermediate
Adjectives,big,adjective,大的,of large size,They live in a big house.,easy
Adjectives,small,adjective,小的,of little size,She has a small dog.,easy
Adjectives,large,adjective,大的,of great size,The hotel room was large.,intermediate
Adjectives,tiny,adjective,微小的,extremely small,It was a tiny room.,intermediate
Adjectives,huge,adjective,巨大的,extremely large,The crowd was huge.,intermediate
Adjectives,long,adjective,長的,of great length,It was a long drive.,easy
Adjectives,short,adjective,短的矮的,of small length or height,She has short hair.,intermediate
Adjectives,tall,adjective,高的,of great height,He is very tall.,intermediate
Adjectives,high,adjective,高的,far from the ground,The mountain is very high.,intermediate
Adjectives,low,adjective,低的,close to the ground,The ceiling is low.,intermediate
Adjectives,wide,adjective,寬的,of great width,The road is very wide.,intermediate
Adjectives,narrow,adjective,窄的,of little width,The alley is narrow.,intermediate
Adjectives,thick,adjective,厚的,of great depth,The wall is very thick.,intermediate
Adjectives,thin,adjective,薄的細的,of little thickness,The paper is thin.,intermediate
Adjectives,heavy,adjective,重的,of great weight,The box is very heavy.,intermediate
Adjectives,light,adjective,輕的,of little weight,This bag is light.,intermediate
Adjectives,fast,adjective,快的,moving quickly,She is a fast learner.,intermediate
Adjectives,slow,adjective,慢的,moving at low speed,The service was slow.,intermediate
Adjectives,quick,adjective,快速的,done in a short time,That was a quick response.,intermediate
Adjectives,hot,adjective,熱的,having a high temperature,It is very hot today.,easy
Adjectives,cold,adjective,冷的,having a low temperature,The coffee is cold.,easy
Adjectives,warm,adjective,溫暖的,pleasantly hot,The room is warm.,intermediate
Adjectives,cool,adjective,涼爽的,slightly cold,It is cool in the evening.,intermediate
Adjectives,new,adjective,新的,recently made,She bought a new phone.,easy
Adjectives,old,adjective,舊的老的,having existed a long time,This is an old book.,easy
Adjectives,young,adjective,年輕的,not old,She looks young.,easy
Adjectives,ancient,adjective,古老的,very old,The ancient ruins are impressive.,intermediate
Adjectives,modern,adjective,現代的,of the present time,The building is very modern.,intermediate
Adjectives,easy,adjective,容易的,not difficult,The exam was easy.,intermediate
Adjectives,hard,adjective,困難的堅硬的,difficult or firm,The question was hard.,intermediate
Adjectives,difficult,adjective,困難的,not easy,The task is difficult.,intermediate
Adjectives,simple,adjective,簡單的,easy to understand,The recipe is simple.,intermediate
Adjectives,complex,adjective,複雜的,made up of many parts,The issue is complex.,intermediate
Adjectives,important,adjective,重要的,of great significance,Sleep is important.,intermediate
Adjectives,necessary,adjective,必要的,required to be done,A visa is necessary.,intermediate
Adjectives,useful,adjective,有用的,having a practical use,This tool is very useful.,intermediate
Adjectives,useless,adjective,無用的,having no practical value,This is useless.,intermediate
Adjectives,different,adjective,不同的,not the same,They are very different.,intermediate
Adjectives,same,adjective,相同的,identical,We have the same taste.,intermediate
Adjectives,similar,adjective,相似的,like something else,They look similar.,intermediate
Adjectives,right,adjective,正確的,correct,That's the right answer.,easy
Adjectives,wrong,adjective,錯誤的,not correct,He gave the wrong answer.,intermediate
Adjectives,true,adjective,真實的,in accordance with facts,Is that true?,intermediate
Adjectives,false,adjective,假的錯的,not true,That story is false.,intermediate
Adjectives,real,adjective,真實的,actually existing,Is this a real diamond?,intermediate
Adjectives,fake,adjective,假的,not genuine,The bag is fake.,intermediate
Adjectives,free,adjective,免費的自由的,not costing money or restricted,Entry is free.,intermediate
Adjectives,busy,adjective,忙碌的,occupied with many tasks,She is very busy.,intermediate
Adjectives,open,adjective,開放的,not closed,Is the cafe open?,easy
Adjectives,closed,adjective,關閉的,not open,The shop is closed.,intermediate
Adjectives,full,adjective,滿的,containing as much as possible,The glass is full.,intermediate
Adjectives,empty,adjective,空的,containing nothing,The bottle is empty.,intermediate
Adjectives,clean,adjective,乾淨的,free from dirt,The room is clean.,easy
Adjectives,dirty,adjective,髒的,covered with dirt,His shirt is dirty.,intermediate
Adjectives,wet,adjective,濕的,covered with water,My shoes are wet.,intermediate
Adjectives,dry,adjective,乾的,free from moisture,The clothes are dry.,intermediate
Adjectives,fresh,adjective,新鮮的,recently made or obtained,Fresh bread tastes good.,intermediate
Adjectives,loud,adjective,大聲的,making a lot of noise,The music is too loud.,intermediate
Adjectives,quiet,adjective,安靜的,making little noise,The library is quiet.,intermediate
Adjectives,bright,adjective,明亮的,giving out a lot of light,The room is bright.,intermediate
Adjectives,dark,adjective,黑暗的,lacking light,The room is dark.,intermediate
Adjectives,beautiful,adjective,美麗的,pleasing to the eye,The sunset was beautiful.,intermediate
Adjectives,pretty,adjective,漂亮的,attractive,What a pretty garden.,intermediate
Adjectives,handsome,adjective,英俊的,good-looking usually for men,He is very handsome.,intermediate
Adjectives,ugly,adjective,醜陋的,not pleasant to look at,The building is ugly.,intermediate
Adjectives,strong,adjective,強壯的,having great power or force,He is very strong.,intermediate
Adjectives,weak,adjective,虛弱的,lacking strength,She felt weak after the illness.,intermediate
Adjectives,healthy,adjective,健康的,in good health,He looks healthy.,intermediate
Adjectives,sick,adjective,生病的,not in good health,She is sick today.,intermediate
Adjectives,tired,adjective,疲倦的,needing rest,I am very tired.,intermediate
Adjectives,energetic,adjective,精力充沛的,having lots of energy,She is very energetic.,intermediate
Adjectives,happy,adjective,快樂的,feeling pleased,She seems happy today.,intermediate
Adjectives,sad,adjective,悲傷的,feeling unhappy,He looked sad.,intermediate
Adjectives,angry,adjective,生氣的,feeling strong displeasure,She was angry.,intermediate
Adjectives,calm,adjective,冷靜的,not anxious or angry,He stayed calm.,intermediate
Adjectives,excited,adjective,興奮的,feeling enthusiasm,The children are excited.,intermediate
Adjectives,bored,adjective,無聊的,feeling uninterested,He looked bored.,intermediate
Adjectives,worried,adjective,擔心的,feeling anxious,She is worried about the exam.,intermediate
Adjectives,nervous,adjective,緊張的,feeling anxious,He was nervous before the speech.,intermediate
Adjectives,confident,adjective,自信的,feeling sure of yourself,She spoke confidently.,intermediate
Adjectives,shy,adjective,害羞的,nervous with other people,He is a shy person.,intermediate
Adjectives,friendly,adjective,友善的,kind and pleasant,Everyone here is friendly.,intermediate
Adjectives,rude,adjective,無禮的,not polite,That was a rude comment.,intermediate
Adjectives,polite,adjective,有禮貌的,having good manners,She is always polite.,intermediate
Adjectives,honest,adjective,誠實的,not lying or cheating,He is an honest person.,intermediate
Adjectives,kind,adjective,善良的,caring and generous,She is very kind.,intermediate
Adjectives,cruel,adjective,殘忍的,causing pain without reason,Cruelty is never okay.,intermediate
Adjectives,generous,adjective,慷慨的,giving freely,He is very generous.,intermediate
Adjectives,selfish,adjective,自私的,caring only about yourself,Don't be selfish.,intermediate
Adjectives,lazy,adjective,懶惰的,not willing to work,He is too lazy.,intermediate
Adjectives,hardworking,adjective,勤奮的,working with much effort,She is very hardworking.,intermediate
Adjectives,clever,adjective,聰明的,quick to learn,That was a clever solution.,intermediate
Adjectives,smart,adjective,聰明的,having intelligence,She is a smart student.,intermediate
Adjectives,creative,adjective,有創意的,producing new ideas,She is very creative.,intermediate
Adjectives,boring,adjective,無聊的,not interesting,The lecture was boring.,intermediate
Adjectives,interesting,adjective,有趣的,holding attention,This book is interesting.,intermediate
Adjectives,funny,adjective,好笑的,causing laughter,He told a funny story.,intermediate
Adjectives,serious,adjective,嚴肅的,not joking,This is serious.,intermediate
Adjectives,strange,adjective,奇怪的,unusual or unexpected,That's a strange question.,intermediate
Adjectives,normal,adjective,正常的,conforming to the standard,Is this normal?,intermediate
Adjectives,common,adjective,常見的,occurring frequently,That's a common mistake.,intermediate
Adjectives,rare,adjective,罕見的,not occurring often,This is a rare opportunity.,intermediate
Adjectives,special,adjective,特別的,better or different from usual,Today is special.,intermediate
Adjectives,ordinary,adjective,普通的,not special,It was an ordinary day.,intermediate
Adjectives,popular,adjective,受歡迎的,liked by many people,That song is popular.,intermediate
Adjectives,famous,adjective,有名的,known by many people,She is famous.,intermediate
Adjectives,rich,adjective,富有的,having a lot of money,He is very rich.,intermediate
Adjectives,poor,adjective,貧窮的,having little money,They are poor.,intermediate
Adjectives,expensive,adjective,昂貴的,costing a lot,This is expensive.,intermediate
Adjectives,cheap,adjective,便宜的,not costing much,I found a cheap flight.,intermediate
Adjectives,affordable,adjective,負擔得起的,reasonably priced,It is affordable.,intermediate
Adjectives,available,adjective,可用的,able to be obtained,Is this available?,intermediate
Adjectives,safe,adjective,安全的,free from danger,The area is safe.,intermediate
Adjectives,dangerous,adjective,危險的,likely to cause harm,Don't take dangerous risks.,intermediate
Adjectives,lucky,adjective,幸運的,having good fortune,She is lucky.,intermediate
Adjectives,successful,adjective,成功的,achieving desired results,She is very successful.,intermediate
Adjectives,comfortable,adjective,舒適的,giving physical ease,The chair is comfortable.,intermediate
Adjectives,convenient,adjective,方便的,easy to use or access,This location is convenient.,intermediate
Adjectives,suitable,adjective,合適的,right for a particular purpose,Is this suitable?,intermediate
Adjectives,perfect,adjective,完美的,completely without fault,The weather was perfect.,intermediate
Adjectives,possible,adjective,可能的,able to be done,Is it possible?,intermediate
Adjectives,impossible,adjective,不可能的,unable to be done,That is impossible.,intermediate
Adjectives,obvious,adjective,明顯的,easily seen or understood,That's obvious.,intermediate
Adjectives,clear,adjective,清楚的,easy to understand,The instructions are clear.,intermediate
Adjectives,accurate,adjective,準確的,correct in all details,The information is accurate.,intermediate
Adjectives,exact,adjective,精確的,completely correct,What is the exact time?,intermediate
Adjectives,general,adjective,一般的,not specific,That is a general question.,intermediate
Adjectives,specific,adjective,特定的,relating to a particular thing,Be more specific.,intermediate
Adjectives,personal,adjective,個人的,of or belonging to a person,That's personal.,intermediate
Adjectives,private,adjective,私人的,not for public use,This is private.,intermediate
Adjectives,public,adjective,公開的,for everyone to use,It is a public space.,intermediate
Adjectives,professional,adjective,專業的,relating to a profession,She is very professional.,intermediate
Adjectives,formal,adjective,正式的,suitable for official occasions,Wear formal clothes.,intermediate
Adjectives,informal,adjective,非正式的,relaxed and casual,It's an informal meeting.,intermediate
Adjectives,local,adjective,當地的,of the nearby area,Buy local produce.,intermediate
Adjectives,foreign,adjective,外國的,from another country,She speaks a foreign language.,intermediate
Adjectives,international,adjective,國際的,involving more than one country,This is an international event.,intermediate
Adjectives,natural,adjective,自然的,existing in or formed by nature,Use natural ingredients.,intermediate
Adjectives,artificial,adjective,人工的,made by humans,This uses artificial sweetener.,intermediate
Adjectives,organic,adjective,有機的,produced without artificial chemicals,Buy organic vegetables.,intermediate
Adjectives,delicious,adjective,美味的,having a very pleasant taste,The food is delicious.,intermediate
Adjectives,tasty,adjective,好吃的,having a pleasant flavour,That looks tasty.,intermediate
Adjectives,spicy,adjective,辣的,containing spice,This dish is too spicy.,intermediate
Adjectives,sweet,adjective,甜的,having a sugary taste,This dessert is very sweet.,intermediate
Adjectives,salty,adjective,鹹的,containing a lot of salt,The soup is too salty.,intermediate
Adjectives,sour,adjective,酸的,having an acidic taste,The lemon is sour.,intermediate
Adjectives,bitter,adjective,苦的,having a sharp unpleasant taste,Coffee is bitter.,intermediate
Adjectives,raw,adjective,生的,not cooked,She eats raw vegetables.,intermediate
Adjectives,cooked,adjective,熟的,having been prepared by heat,The steak is well cooked.,intermediate
Adjectives,frozen,adjective,冷凍的,kept at very low temperature,Use frozen peas.,intermediate
Adjectives,alone,adjective,獨自的,without others,She lives alone.,intermediate
Adjectives,ready,adjective,準備好的,fully prepared,Are you ready?,intermediate
Adjectives,late,adjective,遲到的,arriving after expected time,She was late again.,intermediate
Adjectives,early,adjective,早的,before expected time,He arrived early.,intermediate
Adjectives,current,adjective,目前的,happening now,What is the current status?,intermediate
Adjectives,recent,adjective,最近的,happening not long ago,Here is the recent news.,intermediate
Adjectives,main,adjective,主要的,the most important,What is the main problem?,intermediate
Adjectives,extra,adjective,額外的,more than usual,Can I have extra sauce?,intermediate
Adjectives,basic,adjective,基本的,of the most fundamental kind,These are basic skills.,intermediate
Adjectives,advanced,adjective,進階的,at a higher level,This is an advanced course.,intermediate
Adjectives,original,adjective,原始的,existing from the beginning,The original idea was better.,intermediate
Adjectives,typical,adjective,典型的,having the usual qualities,That is typical behaviour.,intermediate
Adjectives,traditional,adjective,傳統的,following long-established customs,It is a traditional recipe.,intermediate
Adjectives,entire,adjective,整個的,whole and complete,She ate the entire pizza.,intermediate
Adjectives,total,adjective,總計的,comprising everything,What is the total cost?,intermediate
Adjectives,various,adjective,各種各樣的,of many different kinds,There are various options.,intermediate
Adjectives,several,adjective,幾個,more than two but not very many,She tried several times.,intermediate
Adjectives,enough,adjective,足夠的,as much as needed,Is there enough food?,intermediate
