Category,Word,Part of Speech,Traditional Chinese,Definition,Example Sentence,Difficulty
Nouns - Clothing,shirt,noun,襯衫,a garment for the upper body,He wore a white shirt.,intermediate
Nouns - Clothing,T-shirt,noun,T恤,a casual shirt with short sleeves,She wore a blue T-shirt.,intermediate
Nouns - Clothing,blouse,noun,女上衣,a woman's light upper garment,She wore a floral blouse.,intermediate
Nouns - Clothing,jacket,noun,夾克,a short coat,He put on his jacket.,intermediate
Nouns - Clothing,coat,noun,外套,a long outer garment,She buttoned up her coat.,intermediate
Nouns - Clothing,sweater,noun,毛衣,a knitted garment,It's cold - wear a sweater.,intermediate
Nouns - Clothing,hoodie,noun,連帽衫,a hooded sweatshirt,He wore a grey hoodie.,intermediate
Nouns - Clothing,suit,noun,西裝,a matching jacket and trousers,He wore a suit to the interview.,intermediate
Nouns - Clothing,dress,noun,洋裝,a woman's garment,She wore a red dress.,intermediate
Nouns - Clothing,skirt,noun,裙子,a garment hanging from the waist,She bought a new skirt.,intermediate
Nouns - Clothing,trousers,noun,長褲,leg coverings,He wore formal trousers.,intermediate
Nouns - Clothing,jeans,noun,牛仔褲,denim trousers,She wore jeans and a T-shirt.,intermediate
Nouns - Clothing,shorts,noun,短褲,short leg coverings,He wore shorts to the beach.,intermediate
Nouns - Clothing,leggings,noun,內搭褲,tight stretchy leg coverings,She wore leggings to the gym.,intermediate
Nouns - Clothing,underwear,noun,內衣,clothing worn under other clothes,He packed clean underwear.,intermediate
Nouns - Clothing,bra,noun,胸罩,an undergarment for women,She bought a new bra.,intermediate
Nouns - Clothing,socks,noun,襪子,coverings for the feet,She wore mismatched socks.,intermediate
Nouns - Clothing,tights,noun,褲襪,tight leg and foot coverings,She wore tights under her skirt.,intermediate
Nouns - Clothing,shoes,noun,鞋子,coverings for the feet worn outside,His shoes were muddy.,intermediate
Nouns - Clothing,boots,noun,靴子,shoes that cover the ankle,She wore leather boots.,intermediate
Nouns - Clothing,sandals,noun,涼鞋,open shoes with straps,She wore sandals to the beach.,intermediate
Nouns - Clothing,sneakers,noun,運動鞋,casual athletic shoes,He bought new sneakers.,intermediate
Nouns - Clothing,heels,noun,高跟鞋,shoes with a high heel,She wore heels to the party.,intermediate
Nouns - Clothing,slippers,noun,拖鞋,soft shoes worn indoors,She put on her slippers.,intermediate
Nouns - Clothing,hat,noun,帽子,a covering for the head,She wore a sun hat.,intermediate
Nouns - Clothing,cap,noun,棒球帽,a hat with a peak,He wore a cap backwards.,intermediate
Nouns - Clothing,scarf,noun,圍巾,a strip of fabric for the neck,She wrapped a scarf around her neck.,intermediate
Nouns - Clothing,gloves,noun,手套,coverings for the hands,It's cold - wear gloves.,intermediate
Nouns - Clothing,belt,noun,腰帶,a strip worn around the waist,He tightened his belt.,intermediate
Nouns - Clothing,tie,noun,領帶,a strip of fabric worn around the collar,He wore a blue tie.,intermediate
Nouns - Clothing,bag,noun,包包,a container for carrying things,She carried a large bag.,intermediate
Nouns - Clothing,backpack,noun,背包,a bag worn on the back,He packed his backpack for school.,intermediate
Nouns - Clothing,wallet,noun,錢包,a small case for cash and cards,He left his wallet at home.,intermediate
Nouns - Clothing,purse,noun,女用手提包,a small bag for a woman,She searched through her purse.,intermediate
Nouns - Clothing,umbrella,noun,雨傘,protection from rain,Don't forget your umbrella.,intermediate
Nouns - Clothing,glasses,noun,眼鏡,lenses worn to improve vision,She put on her glasses to read.,intermediate
Nouns - Clothing,sunglasses,noun,太陽眼鏡,tinted glasses for sun protection,He wore sunglasses at the beach.,intermediate
Nouns - Clothing,watch,noun,手錶,a device worn on the wrist for time,She glanced at her watch.,intermediate
Nouns - Clothing,ring,noun,戒指,a circular band worn on a finger,She wore a gold ring.,intermediate
Nouns - Clothing,necklace,noun,項鍊,a chain worn around the neck,She received a necklace as a gift.,intermediate
Nouns - Clothing,earrings,noun,耳環,decorations worn on the ears,She put on small earrings.,intermediate
Nouns - Clothing,bracelet,noun,手鍊,a decoration worn on the wrist,She wore a silver bracelet.,intermediate
Nouns - Clothing,pyjamas,noun,睡衣,clothing worn to sleep,He changed into his pyjamas.,intermediate
Nouns - Clothing,uniform,noun,制服,clothing worn by a group,She wore her school uniform.,intermediate
Nouns - Clothing,swimsuit,noun,泳衣,clothing worn for swimming,She packed her swimsuit.,intermediate
Nouns - Clothing,raincoat,noun,雨衣,a waterproof coat,Put on your raincoat.,intermediate
Nouns - Clothing,pocket,noun,口袋,a small bag sewn into clothing,He kept his phone in his pocket.,intermediate
Nouns - Clothing,button,noun,鈕扣,a small disc to fasten clothing,A button fell off his coat.,intermediate
Nouns - Clothing,zip,noun,拉鍊,a fastener with interlocking teeth,She zipped up her jacket.,intermediate
Nouns - Clothing,collar,noun,領子,the part of a shirt around the neck,He loosened his collar.,intermediate
Nouns - Clothing,sleeve,noun,袖子,the part of a garment covering the arm,She rolled up her sleeves.,intermediate
Nouns - Clothing,hood,noun,兜帽,a covering for the head attached to a coat,She pulled up her hood.,intermediate
Nouns - Clothing,size,noun,尺寸,a measurement of clothing,Do you have this in a larger size?,intermediate
Nouns - Clothing,fabric,noun,布料,material used to make clothes,This fabric is very soft.,intermediate
Nouns - Clothing,cotton,noun,棉,a soft natural fabric,She prefers cotton shirts.,intermediate
Nouns - Clothing,wool,noun,羊毛,a warm fabric from sheep,This sweater is pure wool.,intermediate
Nouns - Clothing,leather,noun,皮革,material made from animal skin,He wore leather shoes.,intermediate
Nouns - Clothing,denim,noun,丹寧布,a strong cotton fabric for jeans,She loves denim jackets.,intermediate
Nouns - Clothing,laundry,noun,洗衣,clothes that need washing or have been washed,She did the laundry on Sunday.,intermediate
Nouns - Clothing,dry cleaning,noun,乾洗,cleaning clothes without water,Take the suit to dry cleaning.,intermediate
Nouns - Transport,car,noun,汽車,a motor vehicle,She drives to work.,intermediate
Nouns - Transport,bus,noun,巴士,a large vehicle for many passengers,The bus arrives at 8am.,intermediate
Nouns - Transport,train,noun,火車,a vehicle that runs on rails,We took the train to the city.,intermediate
Nouns - Transport,Tube / Underground,noun,地鐵 / MTR,an underground railway,Take the subway to downtown.,intermediate
Nouns - Transport,taxi,noun,的士,a car for hire,He hailed a taxi.,intermediate
Nouns - Transport,rideshare,noun,共乘,a car service booked by app,She ordered a rideshare.,intermediate
Nouns - Transport,bicycle,noun,單車,a two-wheeled pedal vehicle,She rides her bicycle to work.,intermediate
Nouns - Transport,motorcycle,noun,電單車,a motorised two-wheeled vehicle,He rides a motorcycle.,intermediate
Nouns - Transport,truck,noun,貨車,a large vehicle for carrying goods,A truck blocked the road.,intermediate
Nouns - Transport,van,noun,廂型車,a medium-sized vehicle,They drove a moving van.,intermediate
Nouns - Transport,plane,noun,飛機,a vehicle that flies,The plane took off on time.,intermediate
Nouns - Transport,helicopter,noun,直升機,a rotary-wing aircraft,The helicopter landed on the roof.,intermediate
Nouns - Transport,boat,noun,小船,a small watercraft,They rented a boat.,intermediate
Nouns - Transport,ship,noun,大船,a large watercraft,The cruise ship was enormous.,intermediate
Nouns - Transport,ferry,noun,渡輪,a boat that carries people across water,We took the ferry to the island.,intermediate
Nouns - Transport,tram,noun,電車,a vehicle that runs on street rails,The tram stops nearby.,intermediate
Nouns - Transport,scooter,noun,機車滑板車,a small motorised vehicle,He commutes by scooter.,intermediate
Nouns - Transport,ambulance,noun,救護車,a vehicle for medical emergencies,The ambulance arrived quickly.,intermediate
Nouns - Transport,road,noun,道路,a path for vehicles,The road was blocked.,intermediate
Nouns - Transport,highway,noun,高速公路,a major road for fast traffic,She drove on the highway.,intermediate
Nouns - Transport,street,noun,街道,a road in a city,The street was busy.,intermediate
Nouns - Transport,lane,noun,車道,a division of a road,Stay in your lane.,intermediate
Nouns - Transport,pavement,noun,人行道,the path for pedestrians,Walk on the pavement.,intermediate
Nouns - Transport,bridge,noun,橋,a structure over a gap,They drove over the bridge.,intermediate
Nouns - Transport,tunnel,noun,隧道,an underground passage,The train went through a tunnel.,intermediate
Nouns - Transport,roundabout,noun,圓環,a circular road junction,Turn left at the roundabout.,intermediate
Nouns - Transport,traffic,noun,交通,vehicles on a road,Traffic was heavy this morning.,intermediate
Nouns - Transport,traffic light,noun,紅綠燈,a signal light at a junction,Stop at the red traffic light.,intermediate
Nouns - Transport,Car park,noun,停車場,an area for parking cars,I parked in the parking lot.,intermediate
Nouns - Transport,petrol station,noun,加油站,a place to refuel a vehicle,Stop at the petrol station.,intermediate
Nouns - Transport,bus stop,noun,公車站,a place where buses stop,Wait at the bus stop.,intermediate
Nouns - Transport,airport,noun,機場,a place for aircraft,We arrived at the airport early.,intermediate
Nouns - Transport,station,noun,車站,a place where trains stop,Meet me at the station.,intermediate
Nouns - Transport,port,noun,港口,a place for ships,The ship docked at the port.,intermediate
Nouns - Transport,platform,noun,月台,the boarding area at a station,Platform 3 for the city train.,intermediate
Nouns - Transport,ticket,noun,票,a document allowing travel,I bought a return ticket.,intermediate
Nouns - Transport,passport,noun,護照,an official travel document,Don't forget your passport.,intermediate
Nouns - Transport,visa,noun,簽證,permission to enter a country,She applied for a visa.,intermediate
Nouns - Transport,seatbelt,noun,安全帶,a safety strap in a vehicle,Always wear your seatbelt.,intermediate
Nouns - Transport,journey,noun,旅程,travel from one place to another,The journey took three hours.,intermediate
Nouns - Transport,route,noun,路線,a path taken to get somewhere,What route should I take?,intermediate
Nouns - Transport,destination,noun,目的地,the place you are going to,Our destination is Paris.,intermediate
Nouns - Transport,departure,noun,出發,the act of leaving,Check the departure time.,intermediate
Nouns - Transport,arrival,noun,到達,reaching a destination,The arrival is at 9am.,intermediate
Nouns - Transport,delay,noun,延誤,being late,There is a two-hour delay.,intermediate
Nouns - Transport,fare,noun,票價,the cost of a journey,What is the bus fare?,intermediate
Nouns - Transport,luggage,noun,行李,bags and suitcases for travel,He checked in his luggage.,intermediate
Nouns - Transport,suitcase,noun,行李箱,a large bag for travel,She packed her suitcase.,intermediate
Nouns - Transport,carry-on,noun,手提行李,small bag brought on a plane,She only packed a carry-on.,intermediate
Nouns - Transport,map,noun,地圖,a drawing showing an area,She checked the map.,intermediate
Nouns - Transport,GPS,noun,衛星導航,a satellite navigation system,The GPS directed me to the hotel.,intermediate
Nouns - Transport,commute,noun,通勤,regular travel to and from work,Her commute takes 40 minutes.,intermediate
Nouns - Transport,rush hour,noun,尖峰時刻,the busiest time of day for traffic,Avoid driving in rush hour.,intermediate
Nouns - Transport,pilot,noun,飛行員,a person who flies a plane,The pilot announced the delay.,intermediate
Nouns - Transport,conductor,noun,列車長,a person who checks tickets on a train,The conductor checked our tickets.,intermediate
Nouns - Transport,customs,noun,海關,the official check at a border,Pass through customs on arrival.,intermediate
Nouns - Transport,check-in,noun,報到,registering at an airport or hotel,Check-in opens two hours before.,intermediate
Nouns - Places,city,noun,城市,a large town,She moved to the city for work.,easy
Nouns - Places,town,noun,城鎮,a settlement smaller than a city,He grew up in a small town.,intermediate
Nouns - Places,village,noun,村莊,a small rural community,The village is very peaceful.,intermediate
Nouns - Places,country,noun,國家,a nation,She has visited 20 countries.,easy
Nouns - Places,capital,noun,首都,the main city of a country,London is the capital of the UK.,intermediate
Nouns - Places,region,noun,地區,a large area of land,This region is known for wine.,intermediate
Nouns - Places,neighborhood,noun,社區,an area within a city,It is a friendly neighborhood.,intermediate
Nouns - Places,suburb,noun,郊區,a residential area outside a city,They live in the suburbs.,intermediate
Nouns - Places,countryside,noun,鄉村,rural land away from cities,They drove through the countryside.,intermediate
Nouns - Places,north,noun,北,the direction toward the North Pole,Drive north for an hour.,intermediate
Nouns - Places,south,noun,南,the direction toward the South Pole,The weather is warmer in the south.,intermediate
Nouns - Places,east,noun,東,the direction of sunrise,The sun rises in the east.,intermediate
Nouns - Places,west,noun,西,the direction of sunset,Drive west to reach the coast.,intermediate
Nouns - Places,school,noun,學校,an institution for learning,The children walked to school.,easy
Nouns - Places,university,noun,大學,a higher education institution,She graduated from university.,intermediate
Nouns - Places,college,noun,大學學院,a place for post-school education,He attended a local college.,intermediate
Nouns - Places,library,noun,圖書館,a place with books to borrow,She spent the afternoon at the library.,intermediate
Nouns - Places,museum,noun,博物館,a place displaying historical objects,We visited the museum.,intermediate
Nouns - Places,gallery,noun,美術館,a place displaying art,They toured the art gallery.,intermediate
Nouns - Places,theatre,noun,劇院,a place for live performances,They went to the theatre.,intermediate
Nouns - Places,cinema,noun,電影院,a place to watch films,Let's go to the cinema tonight.,intermediate
Nouns - Places,hospital,noun,醫院,a place for treating sick people,She was taken to hospital.,intermediate
Nouns - Places,clinic,noun,診所,a small medical facility,He visited the local clinic.,intermediate
Nouns - Places,Chemist,noun,藥局,a shop selling medicine,Buy it at the pharmacy.,intermediate
Nouns - Places,dentist,noun,牙科診所,a place for dental care,I have a dentist appointment.,intermediate
Nouns - Places,office,noun,辦公室,a place for desk work,He works in a busy office.,intermediate
Nouns - Places,factory,noun,工廠,a building for manufacturing goods,The factory produces cars.,intermediate
Nouns - Places,warehouse,noun,倉庫,a large storage building,The goods are stored in a warehouse.,intermediate
Nouns - Places,shop,noun,商店,a place where goods are sold,The shop closes at 9pm.,intermediate
Nouns - Places,store,noun,商店美式,a large shop,She went to the grocery store.,intermediate
Nouns - Places,supermarket,noun,超市,a large food shop,I shop at the supermarket weekly.,intermediate
Nouns - Places,market,noun,市場,an open place to buy and sell,The market opens at 7am.,intermediate
Nouns - Places,mall,noun,購物中心,a large shopping centre,They spent the day at the mall.,intermediate
Nouns - Places,bank,noun,銀行,a place that manages money,I need to go to the bank.,intermediate
Nouns - Places,post office,noun,郵局,a place for sending mail,Post the letter at the post office.,intermediate
Nouns - Places,restaurant,noun,餐廳,a place to eat meals,Let's try the new restaurant.,intermediate
Nouns - Places,cafe,noun,咖啡廳,a small place for drinks and snacks,She met her friend at a cafe.,intermediate
Nouns - Places,bar,noun,酒吧,a place serving alcoholic drinks,They met at the bar.,intermediate
Nouns - Places,hotel,noun,酒店,a place for travellers to stay,We booked a hotel near the beach.,intermediate
Nouns - Places,hostel,noun,青年旅館,a cheap place to stay,Backpackers often stay in hostels.,intermediate
Nouns - Places,park,noun,公園,an open area for recreation,They picnicked in the park.,intermediate
Nouns - Places,playground,noun,遊樂場,a place for children to play,The children played at the playground.,intermediate
Nouns - Places,stadium,noun,體育場,a large venue for sports events,The stadium holds 50000 people.,intermediate
Nouns - Places,gym,noun,健身房,a place for exercise,She goes to the gym every morning.,intermediate
Nouns - Places,swimming pool,noun,游泳池,a pool for swimming,He swam at the public pool.,intermediate
Nouns - Places,spa,noun,水療中心,a place for relaxation treatments,She went to the spa.,intermediate
Nouns - Places,beach,noun,海灘,an area of sand near the sea,We spent the day at the beach.,intermediate
Nouns - Places,mountain,noun,山,a large natural elevation,They climbed the mountain.,intermediate
Nouns - Places,river,noun,河流,a natural stream of water,The city is beside the river.,intermediate
Nouns - Places,lake,noun,湖泊,a large body of still water,They fished in the lake.,intermediate
Nouns - Places,sea,noun,大海,the expanse of salt water,We watched the sunset over the sea.,intermediate
Nouns - Places,ocean,noun,海洋,the vast body of salt water,The ocean covers most of Earth.,intermediate
Nouns - Places,island,noun,島嶼,land surrounded by water,They visited a small island.,intermediate
Nouns - Places,desert,noun,沙漠,a very dry barren area,It is very hot in the desert.,intermediate
Nouns - Places,forest,noun,森林,a large area of trees,They hiked through the forest.,intermediate
Nouns - Places,field,noun,田野,an open area of land,Children ran through the field.,intermediate
Nouns - Places,farm,noun,農場,land used for growing food,She grew up on a farm.,intermediate
Nouns - Places,zoo,noun,動物園,a place where animals are kept,The children loved the zoo.,intermediate
Nouns - Places,cemetery,noun,墓地,a burial ground,They visited the cemetery.,intermediate
Nouns - Places,church,noun,教堂,a Christian place of worship,The church bell rang.,intermediate
Nouns - Places,temple,noun,廟宇,a place of worship,They visited an ancient temple.,intermediate
Nouns - Places,mosque,noun,清真寺,a Muslim place of worship,He prays at the mosque.,intermediate
Nouns - Places,embassy,noun,大使館,a country's official office abroad,She went to the embassy for a visa.,intermediate
Nouns - Places,court,noun,法院,a place where legal cases are heard,The case went to court.,intermediate
Nouns - Places,police station,noun,警察局,where police work,Report it at the police station.,intermediate
Nouns - Places,fire station,noun,消防局,where firefighters work,The fire station is on the corner.,intermediate
