Category,Word,Part of Speech,Traditional Chinese,Definition,Example Sentence,Difficulty
Prepositions & Conjunctions,along,preposition,沿著,moving beside something long,Walk along the river.,intermediate
Prepositions & Conjunctions,past,preposition,經過超過,beyond a point or after,We drove past the school.,intermediate
Prepositions & Conjunctions,before,preposition,在之前,earlier than,Come before noon.,intermediate
Prepositions & Conjunctions,after,preposition,在之後,later than,Call me after dinner.,intermediate
Prepositions & Conjunctions,during,preposition,在期間,throughout a period,It rained during the ceremony.,intermediate
Prepositions & Conjunctions,since,preposition,自從,from a time in the past until now,She's lived here since 2015.,intermediate
Prepositions & Conjunctions,until,preposition,直到,up to a certain time,Wait until I arrive.,intermediate
Prepositions & Conjunctions,within,preposition,在之內,inside a time or area,Finish it within an hour.,intermediate
Prepositions & Conjunctions,despite,preposition,儘管,in spite of something,She came despite the rain.,intermediate
Prepositions & Conjunctions,except,preposition,除了之外,not including,Everyone except John came.,intermediate
Prepositions & Conjunctions,according to,preposition,根據,as stated by,According to the news it will rain.,intermediate
Prepositions & Conjunctions,instead of,preposition,代替,in place of,Use water instead of milk.,intermediate
Prepositions & Conjunctions,because of,preposition,因為,on account of,She was late because of traffic.,intermediate
Prepositions & Conjunctions,due to,preposition,由於,caused by something,The delay was due to fog.,intermediate
Prepositions & Conjunctions,in spite of,preposition,儘管,despite,He smiled in spite of the pain.,intermediate
Prepositions & Conjunctions,in addition to,preposition,除了還有,as well as,In addition to French she speaks Spanish.,intermediate
Prepositions & Conjunctions,and,conjunction,和而且,linking two things,I like tea and coffee.,intermediate
Prepositions & Conjunctions,but,conjunction,但是,introducing a contrast,It's cold but sunny today.,intermediate
Prepositions & Conjunctions,or,conjunction,或者,presenting an alternative,Tea or coffee?,intermediate
Prepositions & Conjunctions,because,conjunction,因為,giving a reason,I stayed home because I was sick.,intermediate
Prepositions & Conjunctions,so,conjunction,所以,indicating a result,"It rained, so we stayed inside.",intermediate
Prepositions & Conjunctions,if,conjunction,如果,introducing a condition,Call me if you need help.,intermediate
Prepositions & Conjunctions,when,conjunction,當時,at the time that,Call me when you arrive.,intermediate
Prepositions & Conjunctions,while,conjunction,當同時,at the same time as,She read while he cooked.,intermediate
Prepositions & Conjunctions,although,conjunction,雖然,despite the fact that,"Although tired, she kept going.",intermediate
Prepositions & Conjunctions,unless,conjunction,除非,except if,I'll go unless it rains.,intermediate
Prepositions & Conjunctions,until,conjunction,直到,up to the time that,Wait until I return.,intermediate
Prepositions & Conjunctions,before,conjunction,在之前,earlier in time,Think before you speak.,intermediate
Prepositions & Conjunctions,after,conjunction,在之後,later in time,Rest after you finish.,intermediate
Prepositions & Conjunctions,since,conjunction,既然自從,from the time that or because,Since you're here let's start.,intermediate
Prepositions & Conjunctions,as,conjunction,當因為如同,at the same time or because,"As I walked in, she left.",intermediate
Prepositions & Conjunctions,even though,conjunction,即使,in spite of the fact,I went even though it rained.,intermediate
Prepositions & Conjunctions,so that,conjunction,為了,in order to achieve something,Study hard so that you pass.,intermediate
Prepositions & Conjunctions,in case,conjunction,以防萬一,as a precaution,Bring an umbrella in case it rains.,intermediate
Prepositions & Conjunctions,as soon as,conjunction,一就,immediately when,Call me as soon as you arrive.,intermediate
Prepositions & Conjunctions,as long as,conjunction,只要,on the condition that,I'll help as long as I can.,intermediate
Prepositions & Conjunctions,whether,conjunction,是否,if something is true or not,I don't know whether to go.,intermediate
Prepositions & Conjunctions,both and,conjunction,兩者都,including two things,Both tea and coffee are fine.,intermediate
Prepositions & Conjunctions,either or,conjunction,或,one or the other,Take either the bus or the train.,intermediate
Prepositions & Conjunctions,neither nor,conjunction,兩者都不,not one or the other,Neither tea nor coffee please.,intermediate
Prepositions & Conjunctions,however,conjunction,然而,introducing contrast,It's expensive; however it's worth it.,intermediate
Prepositions & Conjunctions,therefore,conjunction,因此,indicating a logical result,He worked hard; therefore he passed.,intermediate
Prepositions & Conjunctions,furthermore,conjunction,此外,adding an additional point,Furthermore the evidence shows growth.,intermediate
Prepositions & Conjunctions,moreover,conjunction,而且,in addition to what was said,Moreover it is cost-effective.,intermediate
Prepositions & Conjunctions,nevertheless,conjunction,儘管如此,despite that fact,"Nevertheless, they continued.",intermediate
Prepositions & Conjunctions,whereas,conjunction,然而而,introducing a contrast,She is tall whereas he is short.,intermediate
Question Words,what,pronoun,什麼,asking about a thing or fact,What is your name?,intermediate
Question Words,who,pronoun,誰,asking about a person,Who called you?,intermediate
Question Words,where,adverb,哪裡,asking about a place,Where do you live?,intermediate
Question Words,when,adverb,什麼時候,asking about time,When does the train arrive?,intermediate
Question Words,why,adverb,為什麼,asking for a reason,Why did you choose this?,intermediate
Question Words,how,adverb,怎麼如何,asking about manner or method,How do you get to work?,intermediate
Question Words,which,pronoun,哪個,asking to make a choice,Which one do you prefer?,intermediate
Question Words,whose,pronoun,誰的,asking about ownership,Whose bag is this?,intermediate
Question Words,how much,phrase,多少不可數,asking about quantity or price,How much does this cost?,intermediate
Question Words,how many,phrase,多少可數,asking about a number,How many people are coming?,intermediate
Question Words,how long,phrase,多長多久,asking about duration or length,How long is the flight?,intermediate
Question Words,how often,phrase,多久一次,asking about frequency,How often do you exercise?,intermediate
Question Words,how far,phrase,多遠,asking about distance,How far is the station from here?,intermediate
Question Words,how old,phrase,幾歲,asking about age,How old are you?,intermediate
Question Words,how tall,phrase,多高,asking about height,How tall is the building?,intermediate
Question Words,what time,phrase,幾點,asking for the time,What time does it start?,intermediate
Question Words,what kind,phrase,什麼類型,asking about type or category,What kind of music do you like?,intermediate
Question Words,what colour,phrase,什麼顏色,asking about colour,What colour is the car?,intermediate
Question Words,what size,phrase,什麼尺寸,asking about size,What size do you wear?,intermediate
Question Words,what for,phrase,為什麼目的,asking for the purpose,What is this tool for?,intermediate
Numbers & Quantities,zero,number,零,the number 0,There are zero mistakes.,intermediate
Numbers & Quantities,one,number,一,the number 1,I have one brother.,intermediate
Numbers & Quantities,two,number,二,the number 2,We need two chairs.,intermediate
Numbers & Quantities,three,number,三,the number 3,She has three cats.,intermediate
Numbers & Quantities,four,number,四,the number 4,There are four seasons.,intermediate
Numbers & Quantities,five,number,五,the number 5,Five people joined the group.,intermediate
Numbers & Quantities,six,number,六,the number 6,We waited six hours.,intermediate
Numbers & Quantities,seven,number,七,the number 7,There are seven days in a week.,intermediate
Numbers & Quantities,eight,number,八,the number 8,She woke up at eight.,intermediate
Numbers & Quantities,nine,number,九,the number 9,He scored nine points.,intermediate
Numbers & Quantities,ten,number,十,the number 10,The meeting starts in ten minutes.,intermediate
Numbers & Quantities,eleven,number,十一,the number 11,There are eleven players on a team.,intermediate
Numbers & Quantities,twelve,number,十二,the number 12,There are twelve months in a year.,intermediate
Numbers & Quantities,thirteen,number,十三,the number 13,She is thirteen years old.,intermediate
Numbers & Quantities,twenty,number,二十,the number 20,He turned twenty last month.,intermediate
Numbers & Quantities,thirty,number,三十,the number 30,She is thirty years old.,intermediate
Numbers & Quantities,forty,number,四十,the number 40,He worked forty hours this week.,intermediate
Numbers & Quantities,fifty,number,五十,the number 50,We need fifty chairs for the event.,intermediate
Numbers & Quantities,hundred,number,百,the number 100,A hundred people attended.,intermediate
Numbers & Quantities,thousand,number,千,the number 1000,It costs a thousand dollars.,intermediate
Numbers & Quantities,million,number,百萬,"the number 1,000,000",A million people watched.,intermediate
Numbers & Quantities,first,adjective,第一,position number one,She came first in the race.,intermediate
Numbers & Quantities,second,adjective,第二,position number two,He finished second.,intermediate
Numbers & Quantities,third,adjective,第三,position number three,Third time lucky.,intermediate
Numbers & Quantities,last,adjective,最後的,after all others,He was the last to arrive.,intermediate
Numbers & Quantities,next,adjective,下一個,coming after the current,Take the next turning.,intermediate
Numbers & Quantities,previous,adjective,上一個,coming before the current,The previous owner repainted it.,intermediate
Numbers & Quantities,half,noun,一半,one of two equal parts,She ate half the cake.,intermediate
Numbers & Quantities,quarter,noun,四分之一,one of four equal parts,A quarter of the group left early.,intermediate
Numbers & Quantities,double,adjective,雙倍的,twice as much,He earns double my salary.,intermediate
Numbers & Quantities,triple,adjective,三倍的,three times as much,Sales tripled last year.,intermediate
Numbers & Quantities,many,adjective,很多可數,a large number of things,Many people applied.,intermediate
Numbers & Quantities,much,adjective,很多不可數,a large amount,I don't eat much sugar.,intermediate
Numbers & Quantities,few,adjective,少數的,not many,Few people attended.,intermediate
Numbers & Quantities,a few,phrase,一些,a small number,I need a few more minutes.,intermediate
Numbers & Quantities,little,adjective,少量的,a small amount,There is little time left.,intermediate
Numbers & Quantities,a little,phrase,一點點,a small amount,Add a little salt.,intermediate
Numbers & Quantities,some,adjective,一些,an unspecified amount,Can I have some water?,intermediate
Numbers & Quantities,any,adjective,任何,no matter which one,Do you have any questions?,intermediate
Numbers & Quantities,all,adjective,所有的,the whole amount,All students passed.,intermediate
Numbers & Quantities,none,pronoun,沒有,not any,None of them came.,intermediate
Numbers & Quantities,both,adjective,兩者都,two things together,Both options are fine.,intermediate
Numbers & Quantities,each,adjective,每個,every individual one,Each student has a book.,intermediate
Numbers & Quantities,every,adjective,每一個,all members without exception,Every day is different.,intermediate
Numbers & Quantities,more,adjective,更多的,a greater amount,I need more time.,intermediate
Numbers & Quantities,most,adjective,最多的,the greatest amount,Most people agree.,intermediate
Numbers & Quantities,less,adjective,較少的不可數,a smaller amount,Use less salt.,intermediate
Numbers & Quantities,fewer,adjective,較少的可數,a smaller number,Fewer students attended.,intermediate
Numbers & Quantities,three times,adverb,三次,three occurrences,He failed three times.,intermediate
Colours,red,adjective,紅色,the colour of blood or fire,She wore a red dress.,intermediate
Colours,blue,adjective,藍色,the colour of the sky and sea,He has blue eyes.,intermediate
Colours,green,adjective,綠色,the colour of grass and leaves,The walls are painted green.,intermediate
Colours,yellow,adjective,黃色,the colour of the sun and bananas,The taxi is yellow.,intermediate
Colours,orange,adjective,橙色,a colour between red and yellow,She wore an orange jacket.,intermediate
Colours,purple,adjective,紫色,a colour between blue and red,She painted the wall purple.,intermediate
Colours,pink,adjective,粉紅色,a light red colour,The flowers are pink.,intermediate
Colours,black,adjective,黑色,the darkest colour,He wore a black suit.,intermediate
Colours,white,adjective,白色,the lightest colour,She wore a white dress.,intermediate
Colours,grey,adjective,灰色,a colour between black and white,The sky is grey today.,intermediate
Colours,brown,adjective,棕色,the colour of wood or earth,He has brown hair.,intermediate
Colours,gold,adjective,金色,a rich yellow colour like gold,The trophy was gold.,intermediate
Colours,silver,adjective,銀色,a shiny grey colour like silver,She has silver earrings.,intermediate
Colours,beige,adjective,米白色,a pale sandy colour,The walls are beige.,intermediate
Colours,navy,adjective,深藍色,dark blue colour,He wore a navy jacket.,intermediate
Colours,cream,adjective,乳白色,a pale off-white colour,She painted the ceiling cream.,intermediate
Colours,turquoise,adjective,青綠色,a blue-green colour,She wore a turquoise ring.,intermediate
Colours,violet,adjective,紫羅蘭色,a bluish-purple colour,The sunset turned violet.,intermediate
Colours,maroon,adjective,栗色,a dark brownish-red colour,She wore a maroon coat.,intermediate
Colours,light blue,adjective,淺藍色,a pale shade of blue,He wore a light blue shirt.,intermediate
Colours,dark green,adjective,深綠色,a deep shade of green,She had dark green eyes.,intermediate
Colours,pale,adjective,淡的,not strong in colour,She has pale skin.,intermediate
Colours,colourful,adjective,多彩的,having many colours,The market was colourful.,intermediate
Daily Expressions,please,adverb,請,used to make a request polite,Please sit down.,easy
Daily Expressions,Cheers / Ta,phrase,謝謝,expressing gratitude,Thank you very much.,easy
Daily Expressions,thanks,phrase,謝了非正式,informal way of saying thank you,Thanks for your help.,easy
Daily Expressions,sorry,interjection,抱歉,expressing apology,Sorry I'm late.,easy
Daily Expressions,Sorry (used to get attention),phrase,不好意思,getting attention or apologizing,"Excuse me, can you help me?",easy
Daily Expressions,yes,adverb,是的,affirming something,"Yes, I agree with you.",easy
Daily Expressions,no,adverb,不,negating something,"No, I don't think so.",easy
Daily Expressions,okay,adjective,好的可以,indicating agreement or being fine,"Okay, let's do it.",easy
Daily Expressions,sure,adverb,當然,showing willingness or agreement,"Sure, I can help you.",easy
Daily Expressions,of course,phrase,當然,indicating something is obvious,"Of course, no problem.",easy
Daily Expressions,no problem,phrase,沒問題,saying something is not a difficulty,No problem at all.,easy
Daily Expressions,never mind,phrase,沒關係算了,saying something doesn't matter,"Never mind, it's okay.",easy
Daily Expressions,let me know,phrase,讓我知道,asking someone to inform you,Let me know what you decide.,easy
Daily Expressions,I see,phrase,我明白,indicating understanding,I see what you mean.,easy
Daily Expressions,I mean,phrase,我的意思是,clarifying something you said,"I mean, we could try again.",easy
Daily Expressions,basically,adverb,基本上,summarising something simply,"Basically, the plan didn't work.",easy
Daily Expressions,honestly,adverb,誠實地說,introducing a candid remark,"Honestly, I'm not sure.",easy
Daily Expressions,exactly,adverb,正是,expressing strong agreement,"Exactly, that's what I think.",easy
Daily Expressions,right,interjection,對好,agreeing or checking understanding,"Right, let's get started.",easy
Daily Expressions,well,interjection,嗯好,starting a reply or pausing,"Well, I think we should try.",easy
Daily Expressions,by the way,phrase,順帶一提,introducing something extra,"By the way, are you free later?",easy
Daily Expressions,in fact,phrase,事實上,introducing a clarification,"In fact, I prefer tea.",easy
Daily Expressions,at least,phrase,至少,introducing a positive in a negative situation,At least we tried.,easy
Daily Expressions,after all,phrase,畢竟,introducing a contrasting conclusion,He's not so bad after all.,easy
Daily Expressions,as well,phrase,也,in addition to,She speaks French as well.,easy
Daily Expressions,in other words,phrase,換句話說,expressing the same thing differently,"In other words, he refused.",easy
Daily Expressions,to be honest,phrase,說實話,preceding a candid remark,"To be honest, I'm tired.",easy
Daily Expressions,more or less,phrase,差不多,approximately,It takes more or less an hour.,easy
Daily Expressions,kind of,phrase,有點,"somewhat, informal",It's kind of cold today.,easy
Daily Expressions,sort of,phrase,有點英式,"somewhat, British informal",I sort of understand.,easy
Daily Expressions,all right,phrase,好吧還好,agreement or moderate satisfaction,"All right, let's go.",easy
Daily Expressions,fair enough,phrase,有道理,accepting a point as reasonable,"Fair enough, I understand.",easy
Daily Expressions,I'd rather,phrase,我寧可,expressing a preference,I'd rather stay home tonight.,easy
Daily Expressions,I'd better,phrase,我最好,expressing obligation or warning,I'd better leave now.,easy
Daily Expressions,I suppose,phrase,我想,expressing uncertain agreement,I suppose you're right.,easy
Daily Expressions,I guess,phrase,我猜,expressing uncertain agreement informally,I guess so.,easy
Daily Expressions,apparently,adverb,顯然據說,indicating hearsay or evidence,Apparently the shop is closed.,easy
Daily Expressions,regardless,adverb,不管怎樣,without being affected by something,"Regardless, we must go.",easy
Daily Expressions,Good morning,phrase,早安,a greeting said in the morning,Good morning! How are you?,easy
Daily Expressions,Good afternoon,phrase,午安,a greeting said in the afternoon,"Good afternoon, welcome.",easy
Daily Expressions,Good evening,phrase,晚上好 (問候),a greeting said in the evening,Good evening everyone.,easy
Daily Expressions,Good night,phrase,早抖 (道別),said when going to sleep or leaving,"Good night, sleep well.",easy
Daily Expressions,How are you,phrase,你好嗎,asking about someone's wellbeing,How are you today?,easy
Daily Expressions,Nice to meet you,phrase,很高興認識你,said when meeting someone for first time,Nice to meet you!,easy
Daily Expressions,See you later,phrase,待會見,a casual goodbye,See you later!,easy
Daily Expressions,Take care,phrase,保重,said when saying goodbye,Take care of yourself.,easy
Daily Expressions,Have a good day,phrase,祝你有美好的一天,a well-wishing farewell,Have a good day at work!,easy
Daily Expressions,No worries / That's alright,phrase,不客氣,a response to thank you,"You're welcome, anytime.",easy
Daily Expressions,Congratulations,phrase,恭喜,expressing happiness at someone's success,Congratulations on your promotion!,easy
Daily Expressions,Happy birthday,phrase,生日快樂,a greeting on someone's birthday,Happy birthday to you!,easy
Daily Expressions,Get well soon,phrase,早日康復,said to someone who is sick,Get well soon!,easy
Daily Expressions,Good luck,phrase,祝你好運,wishing success,Good luck on your exam!,easy
Daily Expressions,Well done,phrase,做得好,praising someone's achievement,Well done on your result!,easy
